Rank,Countries,Life evalution,GDP ranking,Freedom Indices Score
1,Finland,7.741,48,9.30
2,Denmark,7.583,40,9.28
3,Iceland,7.525,108,9.45
4,Sweden,7.344,23,9.39
5,Israel,7.341,28,7.80
6,Netherlands,7.319,18,9.00
7,Norway,7.302,24,9.81
8,Luxembourg,7.122,71,8.81
9,Switzerland,7.06,20,9.14
10,Australia,7.057,12,8.66
11,New Zealand,7.029,51,9.61
12,Costa Rica,6.955,83,8.29
13,Kuwait,6.951,57,3.50
14,Austria,6.905,33,8.28
15,Canada,6.9,9,8.69
16,Belgium,6.894,25,7.64
17,Ireland,6.838,27,9.19
18,Czechia,6.822,47,7.97
19,Lithuania,6.818,81,7.31
20,United Kingdom,6.749,6,8.28
21,Slovenia,6.743,85,7.75
22,United Arab Emirates,6.733,29,3.01
23,United States,6.725,1,7.85
24,Germany,6.719,4,8.80
25,Mexico,6.678,14,5.14
26,Uruguay,6.611,79,8.66
27,France,6.609,7,8.07
28,Saudi Arabia,6.594,17,2.08
29,Kosovo,6.561,152,5.05
30,Singapore,6.523,34,6.18
31,Taiwan,6.503,21,8.92
32,Romania,6.491,45,6.45
33,El Salvador,6.469,101,4.71
34,Estonia,6.448,100,7.96
35,Poland,6.442,21,7.18
36,Spain,6.421,15,8.07
37,Serbia,6.411,84,6.33
38,Chile,6.36,46,7.98
39,Panama,6.358,75,6.91
40,Malta,6.346,125,7.93
41,Italy,6.324,10,7.69
42,Guatemala,6.287,69,	4.47
43,Nicaragua,6.284,131,2.26
44,Brazil,6.272,11,6.68
45,Slovakia,6.257,62,7.07
46,Latvia,6.234,98,7.38
47,Uzbekistan,6.195,72,2.12
48,Argentina,6.188,22,6.62
49,Kazakhstan,6.188,148,3.70
50,Cyprus,6.068,106,7.38
51,Japan,6.06,3,8.40
52,South Korea,6.058,13,8.09
53,Philippines,6.048,39,6.66
54,Vietnam,6.043,36,2.62
55,Portugal,6.03,50,7.75
56,Hungary,6.017,58,6.72
57,Paraguay,5.977,97,6.00
58,Thailand,5.976,30,6.35
59,Malaysia,5.975,37,7.29
60,China,5.973,2,2.12
61,Honduras,5.968,102,4.98
62,Bahrain,5.959,94,2.52
63,Croatia,5.942,80,6.50
64,Greece,5.934,55,8.14
65,Bosnia and Herzegovina,5.877,111,5.00
66,Libya,5.866,91,1.78
67,Jamaica,5.842,127,7.06
68,Peru,5.841,52,5.81
69,Dominican Republic,5.823,201,6.44
70,Mauritius,5.816,141,8.14
71,Moldova,5.816,136,6.23
72,Russia,5.785,8,2.22
73,Bolivia,5.784,96,4.20
74,Ecuador,5.725,63,5.41
75,Kyrgyzstan,5.714,148,3.70
76,Montenegro,5.707,161,6.67
77,Mongolia,5.696,128,6.48
78,Colombia,5.695,44,6.55
79,Venezuela,5.607,209,2.31
80,Indonesia,5.568,16,6.53
81,Bulgaria,5.463,70,6.41
82,Armenia,5.455,119,5.42
83,South Africa,5.422,38,7.05
84,North Macedonia,5.369,138,6.03
85,Algeria,5.364,56,3.66
86,Hong Kong,5.316,43,5.24
87,Albania,5.304,122,6.28
88,Tajikistan,5.281,149,1.94
89,Congo (Brazzaville),5.221,134,2.79
90,Mozambique,5.216,124,3.51
91,Georgia,5.185,102,5.20
92,Iraq,5.166,49,2.88
93,Nepal,5.158,99,4.60
94,Laos,5.139,130,1.71
95,Gabon,5.106,115,2.18
96,Ivory Coast,5.08,76,4.90
97,Guinea,5.023,114,2.21
98,Turkey,4.975,19,4.33
99,Senegal,4.969,109,5.48
100,Iran,4.923,41,1.96
